Namespace,Resource Type,Name,Labels,Replicas,Container Image,Resource Requests,Resource Limits,Volume Mounts,Service Type,Ports,Additional Configurations
shared-resources,Namespace,shared-resources,"app.kubernetes.io/part-of=shared-resources",,,,,,,,
shared-resources,PersistentVolumeClaim,training-data,"storage=training-data",,,,"500Gi",,,"ReadWriteMany","GCS storage class"
shared-resources,PersistentVolumeClaim,model-repository,"storage=models",,,,"200Gi",,,"ReadWriteMany","Model storage"
shared-resources,PersistentVolumeClaim,workspace-storage,"storage=workspace",,,,"100Gi",,,"ReadWriteMany","Developer workspace"

# Resource Quotas for ML Workloads
ml-training,ResourceQuota,training-quota,,,,"cpu=100,memory=200Gi,nvidia.com/gpu=8","cpu=200,memory=400Gi,nvidia.com/gpu=16",,,,
ml-serving,ResourceQuota,serving-quota,,,,"cpu=50,memory=100Gi,nvidia.com/gpu=4","cpu=100,memory=200Gi,nvidia.com/gpu=8",,,,
dev-runtime,ResourceQuota,runtime-quota,,,,"cpu=20,memory=40Gi","cpu=40,memory=80Gi",,,,

